Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,320,43,528,169.98,0.000%,7.02247,142.41,1.56,20766.0
TOTAL,10,320,43,528,169.98,0.000%,7.02247,142.41,1.56,20766.0
