Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,35,22,44,7.47,0.000%,10.64963,215.97,2.37,20766.0
TOTAL,10,35,22,44,7.47,0.000%,10.64963,215.97,2.37,20766.0
