Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,1904,272,3473,1026.26,0.000%,2.28571,46.35,0.51,20766.0
TOTAL,10,1904,272,3473,1026.26,0.000%,2.28571,46.35,0.51,20766.0
